"origin","destination","storing","cause","date","dur_hours","dur_minutes"
NA,NA,"Treinstoring 11.50-14.00 Breukelen-Amsterdam C/Schiphol","Herstelwerkzaamheden",2016-01-19 11:06:00,"1","16"
"Amersfoort","Ede-Wageningen","Treinstoring Ede-Wageningen-Amersfoort","defecte trein",2016-01-19 09:03:00,"0","22"
"Amsterdam Centraal","Utrecht Centraal","Treinstoring Amsterdam C.-Gouda/Utrecht C.","wisselstoring",2016-01-19 07:25:00,"1","54"
"Amsterdam Centraal","Woerden","Treinstoring Amsterdam C.-Gouda/Utrecht C.","wisselstoring",2016-01-19 07:25:00,"1","54"
"Groningen","Zwolle","Treinstoring Zwolle-Assen","defecte trein",2016-01-19 07:00:00,"0","15"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Leiden C.","wisselstoring",2016-01-19 06:53:00,"4","10"
"Den Haag Centraal","Utrecht Centraal","Treinstoring Utrecht C.-Den Haag C./Rotterdam C.","uitloop van werkzaamheden",2016-01-19 05:02:00,"2","10"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Utrecht C.-Den Haag C./Rotterdam C.","uitloop van werkzaamheden",2016-01-19 05:02:00,"2","10"
"Amersfoort","Apeldoorn","Treinstoring Deventer-Amersfoort","herstelwerkzaamheden",2016-01-19 01:29:00,"4","20"
"Apeldoorn","Deventer","Treinstoring Deventer-Amersfoort","herstelwerkzaamheden",2016-01-19 01:29:00,"4","20"
"Apeldoorn","Deventer","Treinstoring Deventer-Apeldoorn","herstelwerkzaamheden",2016-01-18 19:31:00,"5","50"
"Leeuwarden","Stavoren","Treinstoring Leeuwarden-Stavoren  (sein- en overwegstoring)",NA,2016-01-18 17:48:00,"2","17"
"Roosendaal","Vlissingen","Treinstoring Vlissingen-Roosendaal","aanrijding met een persoon",2016-01-18 16:23:00,"3","42"
NA,NA,"Treinstoring Storing actuele vertrektijden","technische storing",2016-01-18 13:40:00,"1","47"
"Apeldoorn","Deventer","Treinstoring Deventer-Apeldoorn","herstelwerkzaamheden",2016-01-18 13:20:00,"1","4"
"Arnhem","Winterswijk","Treinstoring Arnhem-Winterswijk","wisselstoring",2016-01-18 13:11:00,"1","14"
"Kampen","Zwolle","Treinstoring Zwolle-Kampen","wisselstoring",2016-01-18 13:00:00,"2","12"
"Apeldoorn","Deventer","Treinstoring Apeldoorn-Deventer herstelwerkzaamheden vanaf 19.30 uur","Herstelwerkzaamheden",2016-01-18 12:03:00,"7","32"
"Arnhem","Utrecht Centraal","Treinstoring Ede-Wageningen-Arnhem","wisselstoring",2016-01-18 10:41:00,"1","37"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Lelystad C.-Almere C.","defecte trein",2016-01-18 10:18:00,"0","11"
"Amsterdam Centraal","Lelystad Centrum","Treinstoring Lelystad C.-Almere C.","defecte trein",2016-01-18 10:18:00,"0","11"
"Lelystad Centrum","Schiphol Airport","Treinstoring Lelystad C.-Almere C.","defecte trein",2016-01-18 10:18:00,"0","11"
"Alkmaar","Amsterdam Centraal","Treinstoring Sloterdijk-Amsterdam C.","herstelwerkzaamheden",2016-01-18 10:02:00,"1","2"
"Amsterdam Centraal","Haarlem","Treinstoring Sloterdijk-Amsterdam C.","herstelwerkzaamheden",2016-01-18 10:02:00,"1","2"
"Amsterdam Centraal","Hoorn","Treinstoring Sloterdijk-Amsterdam C.","herstelwerkzaamheden",2016-01-18 10:02:00,"1","2"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Sloterdijk-Amsterdam C.","herstelwerkzaamheden",2016-01-18 10:02:00,"1","2"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
"Schiphol Airport","Utrecht Centraal","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
"Schiphol Airport","Zaandam","Treinstoring Schiphol Airport","defecte trein",2016-01-18 09:26:00,"0","24"
NA,NA,"Treinstoring 10.00-11.00 Amsterdam-Amsterdam Sloterdijk herstelwerkzaamheden","Herstelwerkzaamheden",2016-01-18 09:15:00,"0","47"
"Alkmaar","Amsterdam Centraal","Treinstoring Zaandam-Sloterdijk","herstelwerkzaamheden",2016-01-18 09:14:00,"0","1"
"Amsterdam Centraal","Hoorn","Treinstoring Zaandam-Sloterdijk","herstelwerkzaamheden",2016-01-18 09:14:00,"0","1"
"Schiphol Airport","Zaandam","Treinstoring Zaandam-Sloterdijk","herstelwerkzaamheden",2016-01-18 09:14:00,"0","1"
"Winterswijk","Zutphen","Treinstoring Winterswijk-Zutphen","defecte trein",2016-01-18 07:49:00,"0","34"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Rotterdam C.","aanrijding met een dier",2016-01-17 22:10:00,"2","21"
"Apeldoorn","Deventer","Treinstoring Apeldoorn-Deventer","defect aan het spoor",2016-01-17 21:59:00,"2","43"
"Amersfoort","Amsterdam Centraal","Treinstoring Amsterdam C.-Amersfoort, Schiphol Airport-Hilversum","wisselstoring",2016-01-17 14:17:00,"2","8"
"Amersfoort","Schiphol Airport","Treinstoring Amsterdam C.-Amersfoort, Schiphol Airport-Hilversum","wisselstoring",2016-01-17 14:17:00,"2","8"
"Baarn","Utrecht Centraal","Treinstoring Utrecht C.-Baarn","defecte bovenleiding",2016-01-17 10:24:00,"4","9"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort","defecte bovenleiding",2016-01-17 10:21:00,"4","14"
"HSLBreda","Rotterdam Centraal","Treinstoring Rotterdam C.-Breda","inzet van de brandweer",2016-01-15 20:36:00,"0","28"
"Dordrecht","Rotterdam Centraal","Treinstoring Dordrecht-Rotterdam C.","inzet van de brandweer",2016-01-15 20:26:00,"0","37"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Rotterdam C.-Gouda  (sein- en wisselstoring)",NA,2016-01-15 17:27:00,"3","37"
NA,NA,"Treinstoring Brussel Z./Midi-Antwerpen-C.","weersomstandigheden",2016-01-15 17:15:00,"21","48"
"Dordrecht","Geldermalsen","Treinstoring Dordrecht-Geldermalsen  (sein- en overwegstoring)",NA,2016-01-15 15:00:00,"0","42"
"Groningen","Leeuwarden","Treinstoring Groningen-Leeuwarden","seinstoring",2016-01-15 14:49:00,"10","38"
"HSLBreda","Rotterdam Centraal","Treinstoring Amsterdam C.-Breda","eerdere verstoring",2016-01-15 14:38:00,"1","49"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","eerdere verstoring",2016-01-15 14:38:00,"1","49"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Breda","eerdere verstoring",2016-01-15 14:38:00,"1","49"
"Almere Oostvaarders","Utrecht Centraal","Treinstoring Overvecht-Maliebaan, Utrecht C.-Amersfoort/Baarn/Hilversum","inzet van de politie",2016-01-15 14:12:00,"0","9"
"Amersfoort","Utrecht Centraal","Treinstoring Overvecht-Maliebaan, Utrecht C.-Amersfoort/Baarn/Hilversum","inzet van de politie",2016-01-15 14:12:00,"0","9"
"Baarn","Utrecht Centraal","Treinstoring Overvecht-Maliebaan, Utrecht C.-Amersfoort/Baarn/Hilversum","inzet van de politie",2016-01-15 14:12:00,"0","9"
"Hilversum","Utrecht Centraal","Treinstoring Overvecht-Maliebaan, Utrecht C.-Amersfoort/Baarn/Hilversum","inzet van de politie",2016-01-15 14:12:00,"0","9"
"Utrecht Centraal","Utrecht Maliebaan","Treinstoring Overvecht-Maliebaan, Utrecht C.-Amersfoort/Baarn/Hilversum","inzet van de politie",2016-01-15 14:12:00,"0","9"
"Eindhoven","Venlo","Treinstoring Eindhoven-Deurne/Venlo","overwegstoringen",2016-01-15 13:57:00,"0","11"
"Den Haag Centraal","Den Haag HS","Treinstoring Rotterdam C.-Den Haag C./Hoek v H. Strand","defecte spoorbrug",2016-01-15 11:15:00,"2","22"
"Den Haag HS","Rotterdam Centraal","Treinstoring Rotterdam C.-Den Haag C./Hoek v H. Strand","defecte spoorbrug",2016-01-15 11:15:00,"2","22"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Rotterdam C.-Den Haag C./Hoek v H. Strand","defecte spoorbrug",2016-01-15 11:15:00,"2","22"
"Nijmegen","Venlo","Treinstoring Nijmegen-Venlo","overwegstoringen",2016-01-15 10:51:00,"3","58"
"Groningen","Bad Nieuweschans","Treinstoring Groningen-Leer (Ostfr.)/Veendam","overwegstoringen",2016-01-15 07:53:00,"0","53"
"Groningen","Leer (Ostfriesland)","Treinstoring Groningen-Leer (Ostfr.)/Veendam","overwegstoringen",2016-01-15 07:53:00,"0","53"
"Groningen","Veendam","Treinstoring Groningen-Leer (Ostfr.)/Veendam","overwegstoringen",2016-01-15 07:53:00,"0","53"
"Haarlem","Leiden Centraal","Treinstoring Haarlem-Leiden C.","seinstoring",2016-01-15 05:02:00,"11","1"
"Hoek van Holland Strand","Rotterdam Centraal","Treinstoring Rotterdam C.-Hoek v H. Strand","eerdere verstoring",2016-01-14 15:42:00,"2","40"
"Amersfoort","Schiphol Airport","Treinstoring Schiphol Airport-Almere C./Amsterdam C./Hilversum/Utrecht C.","wisselstoring",2016-01-14 11:28:00,"1","29"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Almere C./Amsterdam C./Hilversum/Utrecht C.","wisselstoring",2016-01-14 11:28:00,"1","29"
"Lelystad Centrum","Schiphol Airport","Treinstoring Schiphol Airport-Almere C./Amsterdam C./Hilversum/Utrecht C.","wisselstoring",2016-01-14 11:28:00,"1","29"
"Schiphol Airport","Utrecht Centraal","Treinstoring Schiphol Airport-Almere C./Amsterdam C./Hilversum/Utrecht C.","wisselstoring",2016-01-14 11:28:00,"1","29"
"Den Haag Centraal","Den Haag HS","Treinstoring Rotterdam C.-Den Haag C.","defecte bovenleiding",2016-01-14 10:25:00,"4","27"
"Den Haag HS","Rotterdam Centraal","Treinstoring Rotterdam C.-Den Haag C.","defecte bovenleiding",2016-01-14 10:25:00,"4","27"
"Amersfoort","Utrecht Centraal","Treinstoring Utrecht C.-Amersfoort","defecte trein",2016-01-14 10:04:00,"0","10"
"Groningen","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",2016-01-14 06:54:00,"2","47"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","aanrijding met een persoon",2016-01-14 06:54:00,"2","47"
"Den Haag Centraal","Utrecht Centraal","Treinstoring Gouda","inzet van de brandweer",2016-01-13 19:14:00,"0","41"
"Rotterdam Centraal","Utrecht Centraal","Treinstoring Gouda","inzet van de brandweer",2016-01-13 19:14:00,"0","41"
"Amersfoort","Apeldoorn","Treinstoring Apeldoorn-Amersfoort","aanrijding",2016-01-13 18:46:00,"0","46"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Leeuwarden","overwegstoring",2016-01-13 18:01:00,"2","38"
"Groningen","Bad Nieuweschans","Treinstoring Groningen-Leer (Ostfr.)","stroomstoring",2016-01-13 15:22:00,"3","2"
"Groningen","Leer (Ostfriesland)","Treinstoring Groningen-Leer (Ostfr.)","stroomstoring",2016-01-13 15:22:00,"3","2"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Leiden C.","defecte trein",2016-01-13 11:51:00,"0","9"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn/Ede-Wageningen","seinstoring",2016-01-12 15:11:00,"2","24"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Apeldoorn/Ede-Wageningen","seinstoring",2016-01-12 15:11:00,"2","24"
"Den Haag Centraal","Utrecht Centraal","Treinstoring Den Haag C.-Gouda","aanrijding",2016-01-12 11:35:00,"0","20"
"Winterswijk","Zutphen","Treinstoring Winterswijk-Zutphen","aanrijding met een voertuig",2016-01-12 09:51:00,"4","36"
"Arnhem","Nijmegen","Treinstoring Arnhem-Nijmegen","aanrijding met een persoon",2016-01-12 06:53:00,"1","53"
"Groningen","Zwolle","Treinstoring Assen-Groningen  (sein- en wisselstoring)",NA,2016-01-12 06:28:00,"0","58"
"Leiden Centraal","Schiphol Airport","Treinstoring Schiphol Airport-Leiden C.","aanrijding met een persoon",2016-01-12 06:06:00,"2","33"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn/Ede-Wageningen","defecte trein",2016-01-11 19:33:00,"0","20"
"Amersfoort","Ede-Wageningen","Treinstoring Amersfoort-Apeldoorn/Ede-Wageningen","defecte trein",2016-01-11 19:33:00,"0","20"
"Almelo","Zwolle","Treinstoring Zwolle-Almelo","aanrijding met een voertuig",2016-01-11 19:07:00,"1","22"
"'s-Hertogenbosch","Eindhoven","Treinstoring Eindhoven-'s-Hertogenbosch","aanrijding met een persoon",2016-01-11 16:47:00,"3","38"
"Delfzijl","Groningen","Treinstoring Groningen-Delfzijl","defecte trein",2016-01-11 12:36:00,"0","12"
"Winterswijk","Zutphen","Treinstoring Zutphen-Winterswijk","overwegstoringen",2016-01-11 08:15:00,"3","38"
"Den Haag HS","Leiden Centraal","Treinstoring Den Haag HS-Leiden C.","wisselstoring",2016-01-10 19:34:00,"2","26"
"Amersfoort","Apeldoorn","Treinstoring Amersfoort-Apeldoorn","dier op het spoor",2016-01-10 12:44:00,"0","17"
"Arnhem","Tiel","Treinstoring Tiel-Arnhem","defect aan het spoor",2016-01-10 11:33:00,"1","47"
"Groningen","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","seinstoring",2016-01-10 10:27:00,"0","37"
"Leeuwarden","Zwolle","Treinstoring Zwolle-Assen/Leeuwarden","seinstoring",2016-01-10 10:27:00,"0","37"
"'s-Hertogenbosch","Tilburg","Treinstoring 's-Hertogenbosch-Tilburg","seinstoring",NA,"1","31"
"Arnhem","Utrecht Centraal","Treinstoring Utrecht C.-Ede-Wageningen","defecte trein",NA,"1","16"
"HSLRotterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Rotterdam C.","defecte trein",NA,"0","47"
"Amsterdam Centraal","Schiphol Airport","Treinstoring Amsterdam C.-Rotterdam C.","defecte trein",NA,"0","47"
"'s-Hertogenbosch","Utrecht Centraal","Treinstoring Utrecht C.-'s-Hertogenbosch","herstelwerkzaamheden",NA,"3","35"
"Amsterdam Centraal","Utrecht Centraal","Treinstoring Amsterdam C.-Gouda/Utrecht C.","herstelwerkzaamheden",NA,"4","34"
"Amsterdam Centraal","Woerden","Treinstoring Amsterdam C.-Gouda/Utrecht C.","herstelwerkzaamheden",NA,"4","34"
