X,Y,STATIONABB,NAME,Province,Randst_rl,IC_2015
6.838725014931518,52.237371214071423,Esd,Enschede Drienerlo,Overijssel,0.000000,0
5.614553182657579,52.301140751884716,Eml,Ermelo,Gelderland,0.000000,0
4.636497844727556,51.575165413947794,Etn,Etten-Leur,Noord-Brabant,0.000000,0
6.04437546365893,50.890653693600441,Egh,Eygelshoven,Limburg,0.000000,0
6.05788556491759,50.896047101911499,Eghm,Eygelshoven Markt,Limburg,0.000000,0
5.549864557414557,53.182354581586431,Fn,Franeker,Friesland,0.000000,0
6.348407611069527,51.93088647935263,Gdr,Gaanderen,Gelderland,0.000000,0
6.566868896572157,52.475805893046463,Gdk,Geerdijk,Overijssel,0.000000,0
5.271150828502785,51.882717947406441,Gdm,Geldermalsen,Gelderland,0.000000,0
5.549873542760414,51.420314131249285,Gp,Geldrop,Noord-Brabant,0.000000,0
5.843485031159133,50.967318632445938,Gln,Geleen Oost,Limburg,0.000000,0
5.824625528675278,50.975287180462857,Lut,Geleen-Lutterade,Limburg,0.000000,0
4.924092208453385,51.583933012967719,Gz,Gilze-Rijen,Noord-Brabant,0.000000,0
6.974051851039783,52.218675601966886,Gbr,Glanerbrug,Overijssel,0.000000,0
3.88959315409063,51.498273074518956,Gs,Goes,Zeeland,0.000000,1
6.585514314189423,52.230222949959732,Go,Goor,Overijssel,0.000000,0
4.967837835519606,51.833836963006057,Gr,Gorinchem,Zuid-Holland,0.000000,0
4.706433503634697,52.017480956268422,Gd,Gouda,Zuid-Holland,0.000000,1
4.742116733391776,52.015125281359587,Gdgo,Gouda Goverwelle,Zuid-Holland,0.000000,0
6.676429100729786,52.609858366155784,Gbg,Gramsbergen,Overijssel,0.000000,0
6.309878947235354,53.255832687027521,Gk,Grijpskerk,Groningen,0.000000,0
6.564162599675459,53.210561628655633,Gn,Groningen,Groningen,0.000000,1
6.585625937037092,53.204570915395273,Gerp,Groningen Europapark,Groningen,0.000000,0
6.556312648701379,53.229835112522515,Gnn,Groningen Noord,Groningen,0.000000,0
5.822311532035384,53.089766593646857,Gw,Grou-Jirnsum,Friesland,0.000000,1
4.63782256706889,52.388006630828123,Hlm,Haarlem,Noord-Holland,0.000000,1
4.671204622406334,52.382891420922384,Hlms,Haarlem Spaarnwoude,Noord-Holland,0.000000,0
4.746441053052068,52.386133519180788,Hwzb,Halfweg-Zwanenburg,Noord-Holland,0.000000,0
6.627984031147067,52.572260841792414,Hdb,Hardenberg,Overijssel,0.000000,0
5.620480128687257,52.337567778450683,Hd,Harderwijk,Gelderland,0.000000,0
4.816334617291811,51.829659707548117,Bzm,Hardinxveld- Blauwe Zoom,Zuid-Holland,0.000000,0
4.835406203199269,51.830394937445696,Gnd,Hardinxveld-Giessendam,Zuid-Holland,0.000000,0
6.61818011136204,53.174885071986814,Hrn,Haren,Groningen,0.000000,0
5.425213133987648,53.170348835454369,Hlg,Harlingen,Friesland,0.000000,0
5.411407335264414,53.174817494479264,Hlgh,Harlingen Haven,Friesland,0.000000,0
4.686180154847084,52.494606017486689,Hk,Heemskerk,Noord-Holland,0.000000,0
4.606868157253744,52.359489531329892,Had,Heemstede-Aerdenhout,Noord-Holland,0.000000,1
5.91537977299399,52.960625668343894,Hr,Heerenveen,Friesland,0.000000,1
4.824203824032897,52.670415319312873,Hwd,Heerhugowaard,Noord-Holland,0.000000,1
5.975641907170328,50.890588806028084,Hrl,Heerlen,Limburg,0.000000,1
5.99333669541567,50.89014247642254,Hrlk,Heerlen De Kissel,Limburg,0.000000,0
5.952837387138532,50.896060361125407,Hrlw,Heerlen Woonboulevard,Limburg,0.000000,0
5.569376553436737,51.38521151051733,Hze,Heeze,Noord-Brabant,0.000000,0
4.701151734655276,52.59987519547137,Hlo,Heiloo,Noord-Holland,0.000000,1
6.221976427051704,52.426947058681911,Hno,Heino,Overijssel,0.000000,0
5.66175840678739,51.475292144336038,Hm,Helmond,Noord-Brabant,0.000000,1
5.608712001019801,51.462373350904947,Hmbv,Helmond Brandevoort,Noord-Brabant,0.000000,0
5.701295393234154,51.470578293936619,Hmbh,Helmond Brouwhuis,Noord-Brabant,0.000000,0
5.631332450889352,51.467965822153261,Hmh,Helmond 't Hout,Noord-Brabant,0.000000,0
5.673590933152252,51.922279230036509,Hmn,Hemmen-Dodewaard,Gelderland,0.000000,0
6.793820680249056,52.261704136353842,Hgl,Hengelo,Overijssel,0.000000,1
6.767950220231471,52.261650472276472,Hglg,Hengelo Gezondheidspark,Overijssel,0.000000,0
6.820535939188145,52.269271432363027,Hglo,Hengelo Oost,Overijssel,0.000000,0
4.566199032647803,52.303115722040239,Hil,Hillegom,Zuid-Holland,0.000000,0
5.181457794437466,52.226468483149972,Hvs,Hilversum,Noord-Holland,0.000000,1
5.173924871513824,52.237855110363753,Hvsm,Hilversum Media Park,Noord-Holland,0.000000,0
5.187259208669654,52.216399686573894,Hvsp,Hilversum Sportpark,Noord-Holland,0.000000,0
5.423164080076266,52.946437130150159,Hnp,Hindeloopen,Friesland,0.000000,0
4.128704669063106,51.975289645508617,Hld,Hoek van Holland Haven,Zuid-Holland,0.000000,0
4.119327903669084,51.981803730339728,Hlds,Hoek van Holland Strand,Zuid-Holland,0.000000,0
5.930192365733792,50.905509820658899,Hb,Hoensbroek,Limburg,0.000000,0
5.457940155957755,52.16637144660362,Hvl,Hoevelaken,Gelderland,0.000000,0
4.479451630341141,51.926313896192482,Rth,Hofplein,Zuid-Holland,1.000000,0
5.179479947254547,52.178445897596035,Hor,Hollandsche Rading,Utrecht,0.000000,0
6.421183900243822,52.284050525983204,Hon,Holten,Overijssel,0.000000,0
4.698660797728649,52.292747481875558,Hfd,Hoofddorp,Noord-Holland,0.000000,0
6.472652837251903,52.73369330546997,Hgv,Hoogeveen,Drenthe,0.000000,1
6.771006745921293,53.159698602868453,Hgz,Hoogezand-Sappemeer,Groningen,0.000000,0
5.182706198668096,52.690392023915685,Hks,Hoogkarspel,Noord-Holland,0.000000,1
5.054743518705097,52.645444028445553,Hn,Hoorn,Noord-Holland,0.000000,1
5.085201281501308,52.653359138158528,Hnk,Hoorn Kersenboogerd,Noord-Holland,0.000000,1
6.041259622536654,51.426853379273759,Hrt,Horst-Sevenum,Limburg,0.000000,0
5.167997060104534,52.033972508332241,Htn,Houten,Utrecht,0.000000,0
5.179284165206655,52.016862420783525,Htnc,Houten Castellum,Utrecht,0.000000,0
5.796396221827292,50.873337054176552,Sgl,Houthem-St. Gerlach,Limburg,0.000000,0
5.934817251825354,53.219053853698803,Hdg,Hurdegaryp,Friesland,0.000000,0
5.616048019344979,53.014675101422853,IJt,IJlst,Friesland,0.000000,0
